val, err
   9.6743869e-10   5.0120829e-12 GJ623
   1.1694724e-10   2.4286468e-12 GJ4024
   1.0220877e-10   1.6250834e-12 PMJ02133+3648
   8.1711806e-11   2.7454066e-13 HIP11542
   7.2334358e-09   3.4175820e-11 HD239960
   2.7637001e-10   9.8484951e-13 HD15285
   2.0758886e-10   4.3959086e-12 Gl844
   6.7977242e-10   5.6582788e-12 HIP9724
   8.2696834e-10   2.8525011e-12 Gl831
   1.0475809e-10   1.4806106e-12 Gl804
   7.6515577e-10   2.5315767e-12 Gl747
   1.4653694e-09   1.4403166e-11 Gl695C
   3.7821097e-10   2.9819597e-12 Gl660
   1.5391908e-09   1.4123866e-11 Gl54
   4.1895754e-10   2.8908269e-12 Gl494
   3.1110056e-09   1.1956734e-11 Gl473
   2.3000907e-10   1.3434161e-12 Gl469
   4.4787631e-10   1.7451643e-11 Gl381
   1.8683069e-10   1.3389989e-11 Gl330
   2.9915997e-10   2.0179086e-11 Gl310
   1.7444085e-10   4.9679583e-12 Gl301B
   1.0530673e-09   2.7338681e-11 Gl190
   2.3269421e-10   9.9365752e-13 Gl125
   2.8164778e-09   1.2640215e-11 GJ661
   1.2438284e-08   6.0631947e-11 GJ65
   1.3346501e-10   2.3674503e-12 GJ600          
   4.2186891e-09   2.5321182e-10 GJ570B
   1.2862887e-10   1.4986400e-12 GJ4287
   7.6632742e-10   1.0334619e-11 HIP46706
   3.5579615e-10   1.7128909e-12 GJ3421
   4.6305304e-10   4.7760833e-12 GJ3412
   2.6490689e-10   2.6223283e-12 GJ340
   4.6812447e-09   3.3897937e-12 GJ234
   5.5746819e-10   3.1809313e-12 GJ22A
   3.3455518e-10   1.5267844e-12 GJ2005
   2.0149880e-09   3.4757307e-12 GJ1245
   1.6228513e-10   1.1619507e-11 GJ1081
   1.4808930e-09   7.4785100e-12 GJ1005
   4.3658706e-10   2.9439407e-11 Gl791.2
   5.1373355e-10   4.8748934e-12 GJ748
   2.8093868e-10   1.9678771e-12 Gl913
   8.2407842e-11   8.2490156e-12 GJ1038
   4.2882919e-10   1.1857230e-11 Gl277
   4.5296431e-10   1.5987492e-12 GJ3454
   1.4309677e-10   3.4731561e-13 GJ1210
   6.8712614e-11   1.1631511e-12 Gl900
 1.01948e-11   6.14608e-14  2M1047+40      
 8.26034e-12   1.29398e-13  2M2206-20      
 9.09972e-11   3.10138e-13  LHS1901        
 4.86558e-11   9.43653e-14  LS1735+26  
 8.26640e-11   4.83731e-13  2M0746+20      
 5.01171e-12   6.96579e-14  2M1017+13      
 4.91662e-12   5.76966e-14  2M2140+16  
   2.9152901e-11   1.7530811e-13 Gl893.4
   2.2816463e-10   9.9802903e-12 Gl263
   1.1926781e-10   1.2782368e-12 GJ416
   5.1680151e-11   1.0972913e-12 HIP96656
   2.8539528e-10   7.1235187e-12 HIP95995
   3.1051263e-10   3.4488207e-12 LHS6167
   1.8596937e-09   1.1072898e-10 GJ1116
   9.0098307e-11   2.0931112e-12 Gl150.2
   1.5597289e-10   1.8802220e-12 GJ4360
   4.5911432e-11   7.6375841e-12 J10364483+15213
