val, err
   9.6991921e-10   5.0330956e-12 GJ623
   1.1686345e-10   2.2221930e-12 GJ4024
   1.0275319e-10   1.6323791e-12 PMJ02133+3648
   8.1671570e-11   2.8197540e-13 HIP11542
   7.1914718e-09   2.7957060e-11 HD239960
   2.7620810e-10   9.7375850e-13 HD15285
   2.0826848e-10   5.0581041e-12 Gl844
   6.8624188e-10   5.4057809e-12 HIP9724
   8.2723066e-10   2.8926500e-12 Gl831
   1.0376721e-10   1.6834671e-12 Gl804
   7.6531753e-10   2.3805386e-12 Gl747
   1.4769660e-09   2.1589585e-11 Gl695C
   3.7870895e-10   2.9273688e-12 Gl660
   1.5372323e-09   1.4180202e-11 Gl54
   4.1991827e-10   2.7654115e-12 Gl494
   3.1221970e-09   1.3804718e-11 Gl473
   2.3012318e-10   1.3762496e-12 Gl469
   4.4114958e-10   1.4958208e-11 Gl381
   1.9115683e-10   1.4328472e-11 Gl330
   3.0770464e-10   1.2397696e-11 Gl310
   1.6887374e-10   3.7870886e-12 Gl301B
   1.0522327e-09   5.4350879e-11 Gl190
   2.3248175e-10   8.5897164e-13 Gl125
   2.7950029e-09   1.1229896e-11 GJ661
   1.2441820e-08   5.9126253e-11 GJ65
   1.3427398e-10   2.5052516e-12 GJ600
   4.2161922e-09   2.3489625e-10 GJ570B
   1.2902268e-10   1.3128849e-12 GJ4287
   7.6225499e-10   1.0675363e-11 HIP46706
   3.5625630e-10   1.8910087e-12 GJ3421
   4.6561552e-10   5.4085121e-12 GJ3412
   2.6516122e-10   1.8000869e-12 GJ340
   4.6801903e-09   3.3553606e-12 GJ234
   5.5937723e-10   3.0872859e-12 GJ22A
   3.3393552e-10   1.5093862e-12 GJ2005
   2.0133119e-09   3.1471452e-12 GJ1245
   1.5259816e-10   1.0182931e-11 GJ1081
   1.4792822e-09   7.3615896e-12 GJ1005
   4.2290192e-10   1.6939887e-11 Gl791.2
   5.1068128e-10   4.4617055e-12 GJ748
   2.8064243e-10   1.9757015e-12 Gl913
   8.2407842e-11   8.2490156e-12 GJ1038
   4.3463874e-10   1.5806500e-11 Gl277
   4.5181763e-10   1.9445828e-12 GJ3454
   1.4317546e-10   3.4792994e-13 GJ1210
   6.8023915e-11   1.5488438e-12 Gl900
 1.01948e-11   6.14608e-14  2M1047+40      
 8.26034e-12   1.29398e-13  2M2206-20      
 9.09972e-11   3.10138e-13  LHS1901        
 4.86558e-11   9.43653e-14  LS1735+26  
 8.26640e-11   4.83731e-13  2M0746+20      
 5.01171e-12   6.96579e-14  2M1017+13      
 4.91662e-12   5.76966e-14  2M2140+16  
   2.9261758e-11   1.3502175e-13 Gl893.4
   2.2883761e-10   1.0252656e-11 Gl263
   1.1919672e-10   1.2744377e-12 GJ416
   5.1416142e-11   8.7964423e-13 HIP96656
   2.8891599e-10   6.9709617e-12 HIP95995
   3.1038437e-10   3.4723821e-12 LHS6167
   1.8793096e-09   9.3473568e-11 GJ1116
   8.9924352e-11   1.5778286e-12 Gl150.2
   1.5601277e-10   1.9629435e-12 GJ4360
   4.5911432e-11   7.6375841e-12 J10364483+15213
